finding_id,severity,confidence,fingerprint
R01-001,MEDIUM,HIGH,067310730f83b87a7cfb1c2522fce314
R01-002,MEDIUM,MEDIUM,6e77b21045de85c50f10e1d8bcc2c201
R01-003,HIGH,MEDIUM,e922c76dfa2f2c63299b4633eb01263b
R01-004,MEDIUM,MEDIUM,ebeeec4302ab3190afcfc76f6e64be71
R01-005,MEDIUM,MEDIUM,5e6c53a105ba12831ab35c38a1ceec26
R01-006,MEDIUM,MEDIUM,f1496fda3fbc45e220e64a9acef29298
R01-007,MEDIUM,MEDIUM,305ef4d19b72ad11f9c9c2fe00bf54cc
R01-008,MEDIUM,MEDIUM,d734be7477223d99516d60dc4ddf3718
R01-009,MEDIUM,MEDIUM,3482febb3be5337ba97016199b168f22
R01-010,MEDIUM,HIGH,515c3371ccc71b9bda1f5a67505565c9
R01-011,MEDIUM,MEDIUM,364a9a824660ed7a071ae0fafa64eea2
R01-012,MEDIUM,MEDIUM,3d0858823d55599c21083ffafca85597
R01-013,MEDIUM,HIGH,9268d3e379bd300335234d54849d7525
R01-014,MEDIUM,MEDIUM,d522989d932b6991104ae6b9d7b0e515
R01-015,MEDIUM,MEDIUM,1593e99e603a216993d0ecd38d204d6b
R01-016,MEDIUM,MEDIUM,b0c514ccf5b202d4345c5a5e3cc7b71a
R01-017,HIGH,MEDIUM,0500398c97ce13aee8e56149c14e9faf
R01-018,MEDIUM,MEDIUM,1df08efbdedcc2801b5153f2af242571
R01-019,MEDIUM,MEDIUM,da4c3defb058a38c0659ffe73271848b
R01-020,MEDIUM,MEDIUM,6c336423ddf260bd8ec803f0a073b716
R01-021,MEDIUM,MEDIUM,39933af8769d804cccdc57f38398b1fb
R01-022,MEDIUM,MEDIUM,72805537f3daba6050bba05c1c55d8aa
R01-023,MEDIUM,HIGH,3fd8eb58040293b8fcdde691885dfac1
R01-024,MEDIUM,MEDIUM,9d292aa6ac5d47ed8a6464a0de65321b
R01-025,MEDIUM,MEDIUM,406b3b2f0e795b24535fc4aadf537c7d
R01-026,HIGH,MEDIUM,602423f88b547cfcc2bc2510c67d308e
R01-027,MEDIUM,MEDIUM,0af8ac6f3c15576c9ea9b220ecb5b479
R01-028,MEDIUM,MEDIUM,6c03e387a4032c57ce1be82b99472bc0
R01-029,MEDIUM,MEDIUM,9202b08f154d498d0d362b8eae16bd2e
R01-030,HIGH,LOW,9a983de61d067321f5918fca3fc65904
