finding_id,repo,commit,rule_id,title,claim,file,line,end_line,source_context,schema_excerpt,double_label,label,fp_cause,rationale,label_2,fp_cause_2,rationale_2
R01-001,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,MISSING_PAGINATION,Unpaginated `localeString.findMany()`,"`localeString.findMany()` in `loadLiveLocales` has no `take`, `skip` or `cursor`, and no filter, so it returns the entire LocaleString table.",src/i18n/live.ts,59,,"  49 | }
  50 | 
  51 | function applyRows(rows: LocaleRow[]): void {
  52 | 	for (const bundle of groupRows(rows)) {
  53 | 		registerLocale(bundle.locale, bundle.namespace, bundle.strings);
  54 | 	}
  55 | }
  56 | 
  57 | /** Load every live translation row into the in-memory registry. Call at boot. */
  58 | export async function loadLiveLocales(): Promise<number> {
> 59 | 	const rows = await getPrisma()
  60 | 		.localeString.findMany()
  61 | 		.catch((err) => {
  62 | 			log.error({ err }, ""failed to load live locales"");
  63 | 			return [] as LocaleRow[];
  64 | 		});
  65 | 	applyRows(rows);
  66 | 	if (rows.length) log.info({ count: rows.length }, ""live translations loaded"");
  67 | 	return rows.length;
  68 | }
  69 | ","model LocaleString {
  locale    String
  namespace String
  key       String
  value     String
  updatedAt DateTime @updatedAt

  @@id([locale, namespace, key])
  @@index([locale])
}",no,,,,,,
R01-002,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,MISSING_PAGINATION,Unpaginated `localeString.findMany()`,"`localeString.findMany()` in `reloadSlice` has no `take`, `skip` or `cursor`, so it returns every LocaleString row matching its filter.",src/i18n/live.ts,71,,"  61 | 		.catch((err) => {
  62 | 			log.error({ err }, ""failed to load live locales"");
  63 | 			return [] as LocaleRow[];
  64 | 		});
  65 | 	applyRows(rows);
  66 | 	if (rows.length) log.info({ count: rows.length }, ""live translations loaded"");
  67 | 	return rows.length;
  68 | }
  69 | 
  70 | async function reloadSlice(locale?: string, namespace?: string): Promise<void> {
> 71 | 	const rows = await getPrisma()
  72 | 		.localeString.findMany({
  73 | 			where: { ...(locale ? { locale } : {}), ...(namespace ? { namespace } : {}) },
  74 | 		})
  75 | 		.catch(() => [] as LocaleRow[]);
  76 | 	applyRows(rows);
  77 | }
  78 | 
  79 | /** Subscribe this shard to live-translation reload signals. Call at boot. */
  80 | export function subscribeLocaleReload(): void {
  81 | 	subscribe(CHANNEL, (payload) => {","model LocaleString {
  locale    String
  namespace String
  key       String
  value     String
  updatedAt DateTime @updatedAt

  @@id([locale, namespace, key])
  @@index([locale])
}",yes,,,,,,
R01-003,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,N_PLUS_ONE_IN_LOOP,N+1 query: `localeString.upsert()` inside a loop,"`localeString.upsert()` in `pushLocaleBundle` runs once per iteration of the map loop on line 119. The loop's collection could not be traced to a Prisma query, so the row count driving it is unknown.",src/i18n/live.ts,120,,"  110 |  */
  111 | export async function pushLocaleBundle(
  112 | 	locale: string,
  113 | 	namespace: string,
  114 | 	strings: Record<string, string>,
  115 | ): Promise<number> {
  116 | 	const prisma = getPrisma();
  117 | 	const entries = Object.entries(strings);
  118 | 	await prisma.$transaction(
  119 | 		entries.map(([key, value]) =>
> 120 | 			prisma.localeString.upsert({
  121 | 				where: { locale_namespace_key: { locale, namespace, key } },
  122 | 				create: { locale, namespace, key, value },
  123 | 				update: { value },
  124 | 			}),
  125 | 		),
  126 | 	);
  127 | 	await publish(CHANNEL, { locale, namespace } satisfies ReloadMessage);
  128 | 	return entries.length;
  129 | }","model LocaleString {
  locale    String
  namespace String
  key       String
  value     String
  updatedAt DateTime @updatedAt

  @@id([locale, namespace, key])
  @@index([locale])
}",no,,,,,,
R01-004,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,MISSING_PAGINATION,Unpaginated `automodRule.findMany()`,"`automodRule.findMany()` in `getRules` has no `take`, `skip` or `cursor`, so it returns every AutomodRule row matching its filter.",src/modules/automod/service.ts,62,,"  52 | 	filterCache.delete(guildId);
  53 | 	rulesCache.delete(guildId);
  54 | }
  55 | 
  56 | // ── Custom rules ─────────────────────────────────────────────────────────────
  57 | 
  58 | /** Cached list of a guild's custom automod rules. */
  59 | export async function getRules(guildId: string): Promise<AutomodRule[]> {
  60 | 	const cached = rulesCache.get(guildId);
  61 | 	if (cached) return cached;
> 62 | 	const rows = await getPrisma()
  63 | 		.automodRule.findMany({ where: { guildId }, orderBy: { createdAt: ""asc"" } })
  64 | 		.catch((err) => {
  65 | 			log.error({ err, guildId }, ""failed to load automod rules"");
  66 | 			return [] as AutomodRule[];
  67 | 		});
  68 | 	rulesCache.set(guildId, rows);
  69 | 	return rows;
  70 | }
  71 | 
  72 | export async function addRule(data: {","model AutomodRule {
  id        String   @id @default(cuid())
  guildId   String
  name      String
  enabled   Boolean  @default(true)
  trigger   String   @default(""keyword"") // keyword | wildcard | regex
  pattern   String
  action    String   @default(""delete"") // delete | warn | timeout
  severity  String   @default(""LOW"") // LOW | MEDIUM | HIGH - weights the escalation ladder
  createdAt DateTime @default(now())

  @@unique([guildId, name])
  @@index([guildId])
}",no,,,,,,
R01-005,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,MISSING_PAGINATION,Unpaginated `automodWarning.findMany()`,"`automodWarning.findMany()` in `priorSeverities` has no `take`, `skip` or `cursor`, so it returns every AutomodWarning row matching its filter.",src/modules/automod/service.ts,172,,"  162 | 	}
  163 | 	return null;
  164 | }
  165 | 
  166 | function severityFrom(value: string): Severity {
  167 | 	return value === ""HIGH"" || value === ""MEDIUM"" ? value : ""LOW"";
  168 | }
  169 | 
  170 | /** Prior active automod offenses for a user, as severities (drives escalation). */
  171 | async function priorSeverities(guildId: string, userId: string): Promise<Severity[]> {
> 172 | 	const rows = await getPrisma()
  173 | 		.automodWarning.findMany({
  174 | 			where: { guildId, userId, active: true },
  175 | 			select: { severity: true },
  176 | 		})
  177 | 		.catch((err) => {
  178 | 			log.error({ err, guildId }, ""failed to load automod warnings"");
  179 | 			return [] as { severity: string }[];
  180 | 		});
  181 | 	return rows.map((r) => severityFrom(r.severity));
  182 | }","model AutomodWarning {
  id        String   @id @default(cuid())
  guildId   String
  userId    String
  severity  String   @default(""LOW"") // LOW | MEDIUM | HIGH
  reason    String?
  ruleId    String? // built-in id (e.g. ""hate"") or AutomodRule id
  action    String   @default(""WARN"") // resulting action: WARN | TIMEOUT | KICK | BAN
  active    Boolean  @default(true)
  createdAt DateTime @default(now())

  @@index([guildId, userId])
}",no,,,,,,
R01-006,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,MISSING_PAGINATION,Unpaginated `birthday.findMany()`,"`birthday.findMany()` in `birthdaysOn` has no `take`, `skip` or `cursor`, so it returns every Birthday row matching its filter.",src/modules/birthday/service.ts,76,,"  66 | export async function removeBirthday(guildId: string, userId: string): Promise<void> {
  67 | 	await getPrisma().birthday.deleteMany({ where: { guildId, userId } });
  68 | }
  69 | 
  70 | export async function getBirthday(guildId: string, userId: string): Promise<Birthday | null> {
  71 | 	return getPrisma().birthday.findUnique({ where: { guildId_userId: { guildId, userId } } });
  72 | }
  73 | 
  74 | /** All birthdays falling on a given month/day (across guilds - caller filters by shard). */
  75 | export async function birthdaysOn(month: number, day: number): Promise<Birthday[]> {
> 76 | 	return getPrisma().birthday.findMany({ where: { month, day } });
  77 | }
  78 | 
  79 | export async function listForGuild(guildId: string): Promise<Birthday[]> {
  80 | 	return getPrisma().birthday.findMany({
  81 | 		where: { guildId },
  82 | 		orderBy: [{ month: ""asc"" }, { day: ""asc"" }],
  83 | 	});
  84 | }","model Birthday {
  guildId String
  userId  String
  day     Int
  month   Int
  year    Int?

  @@id([guildId, userId])
  @@index([month, day])
}",no,,,,,,
R01-007,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,MISSING_PAGINATION,Unpaginated `birthday.findMany()`,"`birthday.findMany()` in `listForGuild` has no `take`, `skip` or `cursor`, so it returns every Birthday row matching its filter.",src/modules/birthday/service.ts,80,,"  70 | export async function getBirthday(guildId: string, userId: string): Promise<Birthday | null> {
  71 | 	return getPrisma().birthday.findUnique({ where: { guildId_userId: { guildId, userId } } });
  72 | }
  73 | 
  74 | /** All birthdays falling on a given month/day (across guilds - caller filters by shard). */
  75 | export async function birthdaysOn(month: number, day: number): Promise<Birthday[]> {
  76 | 	return getPrisma().birthday.findMany({ where: { month, day } });
  77 | }
  78 | 
  79 | export async function listForGuild(guildId: string): Promise<Birthday[]> {
> 80 | 	return getPrisma().birthday.findMany({
  81 | 		where: { guildId },
  82 | 		orderBy: [{ month: ""asc"" }, { day: ""asc"" }],
  83 | 	});
  84 | }","model Birthday {
  guildId String
  userId  String
  day     Int
  month   Int
  year    Int?

  @@id([guildId, userId])
  @@index([month, day])
}",no,,,,,,
R01-008,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,MISSING_PAGINATION,Unpaginated `shopItem.findMany()`,"`shopItem.findMany()` in `listShop` has no `take`, `skip` or `cursor`, so it returns every ShopItem row matching its filter.",src/modules/economy/shop.ts,8,,"   1 | import type { InventoryItem, ShopItem } from ""@prisma/client"";
   2 | import { getPrisma } from ""@/services/database.ts"";
   3 | import { getAccount, updateBalance } from ""./service.ts"";
   4 | 
   5 | // ── Shop catalog ─────────────────────────────────────────────────────────────
   6 | 
   7 | export function listShop(guildId: string): Promise<ShopItem[]> {
>  8 | 	return getPrisma().shopItem.findMany({ where: { guildId }, orderBy: { price: ""asc"" } });
   9 | }
  10 | 
  11 | export function getItem(guildId: string, name: string): Promise<ShopItem | null> {
  12 | 	return getPrisma().shopItem.findUnique({ where: { guildId_name: { guildId, name } } });
  13 | }
  14 | 
  15 | export async function upsertItem(data: {
  16 | 	guildId: string;
  17 | 	name: string;
  18 | 	price: number;","model ShopItem {
  id          String   @id @default(cuid())
  guildId     String
  name        String
  description String?
  price       Int
  roleId      String? // buyable role: granted on purchase, not stored in inventory
  stock       Int? // null = unlimited
  createdAt   DateTime @default(now())

  @@unique([guildId, name])
  @@index([guildId])
}",no,,,,,,
R01-009,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,MISSING_PAGINATION,Unpaginated `inventoryItem.findMany()`,"`inventoryItem.findMany()` in `getInventory` has no `take`, `skip` or `cursor`, so it returns every InventoryItem row matching its filter.",src/modules/economy/shop.ts,43,,"  33 | }
  34 | 
  35 | export async function removeItem(guildId: string, name: string): Promise<boolean> {
  36 | 	const res = await getPrisma().shopItem.deleteMany({ where: { guildId, name } });
  37 | 	return res.count > 0;
  38 | }
  39 | 
  40 | // ── Inventory ────────────────────────────────────────────────────────────────
  41 | 
  42 | export function getInventory(guildId: string, userId: string): Promise<InventoryItem[]> {
> 43 | 	return getPrisma().inventoryItem.findMany({
  44 | 		where: { guildId, userId },
  45 | 		orderBy: { itemName: ""asc"" },
  46 | 	});
  47 | }
  48 | 
  49 | async function addToInventory(
  50 | 	guildId: string,
  51 | 	userId: string,
  52 | 	itemName: string,
  53 | 	qty: number,","model InventoryItem {
  id       String @id @default(cuid())
  guildId  String
  userId   String
  itemName String
  quantity Int    @default(1)

  @@unique([guildId, userId, itemName])
  @@index([guildId, userId])
}",no,,,,,,
R01-010,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,MISSING_PAGINATION,Unpaginated `afkStatus.findMany()`,"`afkStatus.findMany()` in `loadAfk` has no `take`, `skip` or `cursor`, and no filter, so it returns the entire AfkStatus table.",src/modules/extras/service.ts,15,,"   5 | export interface AfkEntry {
   6 | 	reason: string;
   7 | 	since: number;
   8 | }
   9 | 
  10 | const afk = new Map<string, AfkEntry>();
  11 | const key = (guildId: string, userId: string): string => `${guildId}:${userId}`;
  12 | 
  13 | /** Load persisted AFK statuses into memory (call on ready). */
  14 | export async function loadAfk(): Promise<void> {
> 15 | 	const rows = await getPrisma().afkStatus.findMany();
  16 | 	for (const row of rows)
  17 | 		afk.set(key(row.guildId, row.userId), { reason: row.reason, since: row.since.getTime() });
  18 | }
  19 | 
  20 | export async function setAfk(guildId: string, userId: string, reason: string): Promise<void> {
  21 | 	afk.set(key(guildId, userId), { reason, since: Date.now() });
  22 | 	await getPrisma().afkStatus.upsert({
  23 | 		where: { guildId_userId: { guildId, userId } },
  24 | 		create: { guildId, userId, reason },
  25 | 		update: { reason, since: new Date() },","model AfkStatus {
  guildId String
  userId  String
  reason  String
  since   DateTime @default(now())

  @@id([guildId, userId])
}",yes,,,,,,
